GPU model;Stars;Average comment stars;N comments
RTX 4090;2;2.4365;307
RTX 4080;1;2.1593;270
RTX 3090 Ti;2;2.2961;152
RTX 3090;2;2.3821;246
RTX 3080 Ti;2;2.0755;159
RTX 3080;2;2.6296;602
RTX 3070 Ti;2;2.3793;116
RTX 3070;3;2.3778;225
RTX 3060 Ti;4;2.3571;168
RTX 3060;2;2.2263;137
RTX 3050;2;2.5669;127
RTX 2080 Ti;2;2.3450;342
RTX 2080;2;2.3450;342
RTX 2070;3;2.1466;191
RTX 2060;3;2.1234;154
GTX 1660 Ti;2;2.2467;150
GTX 1660 Super;2;2.5811;74
GTX 1660;3;2.4444;117
GTX 1650;2;2.3269;104
GTX 1080 Ti;3;2.6692;130
GTX 1080;4;2.2017;238
GTX 1070 Ti;2;2.2518;139
GTX 1070;4;2.2017;238
GTX 1060;4;2.3258;267
GTX 1050 Ti;4;2.6244;205
GTX 1050;4;2.6244;205
RX 7900 XTX;2;2.4657;350
RX 7900 XT;2;2.4657;350
RX 6900 XT;4;2.2983;181
RX 6800 XT;2;2.4183;404
RX 6800;2;2.4183;404
RX 6700 XT;2;2.3916;166
RX 6600 XT;2;2.2682;179
RX 6600;3;2.2109;147
RX 6500 XT;3;2.1037;164
RX 5700 XT;3;2.5322;171
RX 5700;3;2.5322;171
RX 5600 XT;2;2.3556;90
RX 590;2;2.4873;158
RX 580;4;2.5877;114
RX 570;4;2.5877;114
RX 480;2;2.4491;403
RX 470;3;2.3432;169
Radeon VII;2;2.5134;187
RX Vega Liquid;2;2.1237;186
RX Vega 64;2;2.3872;235
RX Vega 56;2;2.3872;235
